Código|Descripción|Código de Barras|Precio Menudeo|Precio Mayoreo|Precio Residencial|Familia
1401098|Bebida de Guayaba 500ml BOING (24pz)|75003135|001500|001420|001500|Jugos y Bebidas
1401099|SUEROX Uva 8iones  630 ml (12pz)|650240032271|001850|001750|001850|Jugos y Bebidas
1403005|TANG limon 4paq 35pz (8pz)|7622210573216|000450|000420|000460|Concentrado Bebidas
1403016|TANG jamaica 8paq  12pz (8pz)|7622210576965|000490|000450|000500|Concentrado Bebidas
1403020|Horchata  Arroz CASTIZO 250 ml (16pz)|7503002846575|002200|002100|002270|Concentrado Bebidas
1403021|Horchata  Coco CATIZO 250 ml (16pz)|7503002846582|002200|002100|002270|Concentrado Bebidas
1403022|Horchata  Jamaica CATIZO 250 ml (16pz)|7503023428002|002200|002100|002270|Concentrado Bebidas
1404001|Agua BONAFONT 600ml|758104001712|000880|000830|000910|Agua Embotellada
1404002|Agua BONAFONT 1lt|758104100422|001070|001040|001100|Agua Embotellada
1404003|Agua BONAFONT 1.5lt|758104000159|001400|001300|001440|Agua Embotellada
1404023|Agua BONAFONT 6lt|758104003174|003800|003600|003910|Agua Embotellada
1404027|N0 USAR   Agua Levite Fresa BONAFONT 1.4lt|1404027|001450|001350|001490|Agua Embotellada
1404030|Agua Levite Pina Coco BONAFONT 1.4lt|758104007905|001700|001650|001750|Agua Embotellada
1404031|Agua EPURA 1lt|7501086801046|001150|001140|001180|Agua Embotellada
1404032|Agua EPURA 1.5lt|7501086801015|001400|001350|001440|Agua Embotellada
1404033|Agua Natural 20lts CIEL|7501055305681|005500|005500|005670|Agua Embotellada
1406004|GATORADE Ponche de Frutas 600ml|036731106063|002600|002600|002680|PEPSI
1406006|GATORADE Sport Bottles Uva 600ml|36731106049|002600|002600|002680|PEPSI
1406007|GATORADE Sport Bottles Naranja 600ml|036731106018|002600|002600|002680|PEPSI
1406008|GATORADE Sport Bottles Lima Limón 600ml|036731106032|002600|002600|002680|PEPSI
1406009|GATORADE Sport Bottles Ponche de Frutas 600ml|00000000000|002600|002600|002680|PEPSI
1406011|GATORADE Uva 1lt|036731324009|003300|003300|003400|PEPSI
1406012|GATORADE Naranja 1lt|036731321008|003300|003300|003400|PEPSI
1406013|GATORADE Lima Limón 1lt|036731323002|003300|003300|003400|PEPSI
1406014|GATORADE Ponche de Frutas 1lt|036731326003|003300|003300|003400|PEPSI
1406016|PEPSI Lata 12oz|7501031311309|001800|001800|001850|PEPSI
1406019|MANZANA Lata 12oz|7501031360130|001800|001800|001850|PEPSI
1406020|PEPSI 600ml|7501031310012|001800|001800|001850|PEPSI
1406021|PEPSI LIGHT 600ml|7501031312559|001800|001800|001850|PEPSI
1406022|MIRINDA 600ml|7501022014912|001800|001800|001850|PEPSI
1406023|7UP 600ml|7501022014585|001800|001800|001850|PEPSI
1406024|MANZANA SOL  600ml|7501022015377|001800|001800|001850|PEPSI
1406027|CANADA DRY CLUB SODA 600ml|7501198350012|001700|001700|001750|PEPSI
1406028|CANADA DRY GINGER ALE 600ml|7501198350432|001700|001700|001750|PEPSI
1406029|SANGRIA CASERA 600ml|7501505630073|001800|001800|001850|PEPSI
1406030|PEPSI 1.75lt|7501022009321|002400|002400|002470|PEPSI
1406031|MIRINDA 1.75lt|7501022015308|002300|002300|002370|PEPSI
1406032|7UP 1.75lt|7501022014615|002300|002300|002370|PEPSI
1406033|MANZANA SOL 1.75lt|7501022015391|002300|002300|002370|PEPSI
1406036|PEPSI 2.5lt|7501031310258|003500|003500|003610|PEPSI
1406039|MANZANA 2.5lt|7501031360338|003850|003850|003970|PEPSI
1406040|PEPSI JUMBO 3lt|7501031310098|003900|003900|004020|PEPSI
1406042|BE LIGHT Toronja 1.5lt|7501011181755|001900|001900|001960|PEPSI
1406044|BE LIGHT Manzana 1.5lt|7501011169838|001900|001900|001960|PEPSI
1406046|PEPSI LIGHT 2.5lt|7501031312771|003500|003500|003610|PEPSI
1406047|SANGRIA CASERA 2lt|7501505630028|002900|002900|002990|PEPSI
1406048|PEPSI KICK 500ml|7501022014257|001500|001500|001550|PEPSI
1406049|LIPTON Ice Tea|0|001800|001800|001850|PEPSI
1406051|LIPTON Te Verde Citricos 600ml|7501031302376|001800|001800|001850|PEPSI
1406054|Manzana Jumbo 3lt|7501022015445|003900|003900|004020|PEPSI
1406055|7UP Jumbo 3lt|7501022014646|003900|003900|004020|PEPSI
1406056|Mirinda Jumbo 3lt|7501022015704|003900|003900|004020|PEPSI
1406057|Canada Dry 2lt|7501198333565|002900|002900|002990|PEPSI
1406058|Jumex Fresh Cítricos 400ml|7501031307678|001400|001400|001440|PEPSI
1406060|Jumex Fresh Conga 400ml|7501031307708|001400|001400|001440|PEPSI
1406062|Jumex Fresh Cítricos 600ml|7501031307210|001700|001700|001750|PEPSI
1406064|Jumex Fresh Conga 600ml|7501031307241|001700|001700|001750|PEPSI
1406066|7Up 400ml|7501022013885|001300|001300|001340|PEPSI
1406067|Mirinda 400 ml|7501031302819|001300|001300|001340|PEPSI
1406068|Manzanita Sol 400 ml|7501022015513|001300|001300|001340|PEPSI
1406069|PEPSI 400 ml|7501031302741|001300|001300|001340|PEPSI
1406070|Sangria Casera 400 ml|7501031303540|001300|001300|001340|PEPSI
1406071|PEPSI 2lt|7501031311606|003000|003000|003090|PEPSI
1406072|Naranjada Mineralizada Jumex 1.5lt|7501022010877|002200|002200|002270|PEPSI
1406073|Naranjada Mineralizada Jumex 600ml|7501022010860|001600|001600|001650|PEPSI
1406074|Limonada Mineralizada 7up 1.5lt|7501022013847|002200|002200|002270|PEPSI
1406075|Limonada Mineralizada 7up 600ml|7501022011010|001800|001800|001850|PEPSI
1406080|GATORADE sport botles mora 600 ml|036731136916|002600|002600|002680|PEPSI
1406082|GATORADE Limonada 1lt|36731322005|003300|003300|003400|PEPSI
1407001|COCA COLA Lata 355ml|7501055361540|002000|002000|002060|Coca Cola
1407002|COCA COLA Pet 600ml|75007614|002000|002000|002060|Coca Cola
1407003|COCA COLA Light Pet 600ml|7501055305339|002000|002000|002060|Coca Cola
1407004|COCA-COLA light Lata 355ml|7501055365395|002000|002000|002060|Coca Cola
1407005|Coca Cola  Zero  600ml 12pz|7501055320639|001500|001500|001550|Coca Cola
1407008|VICTORIA Grosella 600ml|7501055328796|001900|001900|001960|Coca Cola
1407009|VICTORIA Sidra 600ml|7501055328826|001900|001900|001960|Coca Cola
1407012|SPRITE 600ml|7501055305629|001900|001900|001960|Coca Cola
1407013|DELAWARE 600ml|7501055304653|001900|001900|001960|Coca Cola
1407014|SIDRAL MUNDET 600ml|7501055339983|001900|001900|001960|Coca Cola
1407015|FRESCA 600 ml|7501055303786|001900|001900|001960|Coca Cola
1407016|FANTA 600 ml|7501055303779|001900|001900|001960|Coca Cola
1407017|Agua CIEL Mineralizada 600ml|7501055308248|001700|001700|001750|Coca Cola
1407018|COCA-COLA 1lt|7501055302451|003100|003100|003190|Coca Cola
1407019|COCA-COLA 1.35lt|7501055371655|003100|003100|003190|Coca Cola
1407020|SIDRAL MUNDET 1.5lt|7501055343270|002500|002500|002580|Coca Cola
1407022|SPRITE 1.5lt|7501055305643|002500|002500|002580|Coca Cola
1407023|FRESCA 1.5ml|7501055303830|002500|002500|002500|Coca Cola
1407026|VICTORIA Grosella 1.5lt|7501055328895|002500|002500|002580|Coca Cola
1407027|VICTORIA Sidra 1.5lt|7501055328925|002500|002500|002580|Coca Cola
1407030|COCA-COLA 2lt|7501055302925|004100|004100|004220|Coca Cola
1407031|COCA-COLA Light 2lt|7501055305360|004100|004100|004220|Coca Cola
1407033|COCA-COLA 2.75lt|7501055335060|004500|004500|004640|Coca Cola
1407034|COCA-COLA 3lt|7501055304745|004900|004900|005050|Coca Cola
1407035|SIDRAL MUNDET 3lt|7501055340422|003900|003900|004020|Coca Cola
1407038|VICTORIA Grosella 3lt|7501055331987|004000|004000|004120|Coca Cola
1407039|VICTORIA Sidra 3lt|7501055332014|004000|004000|004120|Coca Cola
1407040|Fuze TEA Negro 600ml.|7501055358892|002000|002000|002060|Coca Cola
1407041|SPRITE 3lt|7501055304806|003900|003900|004020|Coca Cola
1407042|FRESCA 3lt|7501055304813|003900|003900|004020|Coca Cola
1407043|COCA COLA Pet N/R 355ml|7501055328345|001500|001500|001550|Coca Cola
1407045|Jugo Durazno DEL VALLE 408ml|032239052017|001800|001800|001850|Coca Cola
1407046|Jugo Mango DEL VALLE 408ml|32239052000|001800|001800|001850|Coca Cola
1407049|Jugo nectar Mango DEL VALLE pet 1lt|7501055333844|003100|003100|003180|Coca Cola
1407050|Jugo nectar Manzana DEL VALLE pet 1lt|7501055333868|003100|003100|003180|Coca Cola
1407052|Jugo nectar Durazno DEL VALLE pet 1lt|7501055333851|003100|003100|003180|Coca Cola
1407053|Fuze TEA Durazno 600ml.|7501055317875|002000|002000|002060|Coca Cola
1407054|Coca Cola Sin Azucar 1.75L 8pz|7501055349555|003100|003100|003190|Coca Cola
1407056|Coca Cola Sin Azucar 355ml  lata 12pz|7501055361557|002000|002000|002060|Coca Cola
1407059|FANTA 3Lt|7501055304790|003900|003900|004020|Coca Cola
1407063|Powerade COCA COLA 500ml|7501055329267|002300|002300|002370|Coca Cola
1407065|SPRITE 6PCK 355ml|7501055363186|001900|001900|001960|Coca Cola
1407068|COCA-COLA s/azucar 400ml|7501055328390|001100|001100|001130|Coca Cola
1407072|COCA-COLA sin Azucar 2.5lt|7501055321681|003900|003900|004010|Coca Cola
1407073|COCA-COLA 1.75lt|7501055313532|003600|003600|003710|Coca Cola
1407074|Agua Mineral Topo Chico 600ml (12 pz)|021136010541|002000|002000|002060|Coca Cola
1407075|Del Vale Fizz Naranjada 600ml|7501055379484|001900|001900|001960|Coca Cola
1407076|Del Vale Fizz Limonada 600ml|7501055379521|001900|001900|001960|Coca Cola
1407077|Monster 473ml|070847035916|003800|003800|003910|Coca Cola
1407078|Vitaminwater Citrico Tropial 500ml|7501055386376|003100|003100|003190|Coca Cola
1408001|Cerveza  Especial Modelo Laton 473ml|7501064191886|002600|002600|002600|Cerveza
1408002|Cerveza Corona Extra Bote 355ml|7501064190711|001900|001900|001900|Cerveza
1408003|Cerveza Corona Extra Laton 473ml|7501064193859|002350|002350|002350|Cerveza
1408004|Cerveza  Modelo Especial Bote 355ml|7501064112546|002050|002050|002050|Cerveza
1408005|Cerveza Corona Light Bote 355ml|7501064107153|001800|001800|001800|Cerveza
1408006|Cerveza Victoria Laton 473ml|7501064194139|002350|002350|002350|Cerveza
1408007|Cerveza clara Pacifico  355ml|7501064199615|002100|002100|002100|Cerveza
1408008|New Mix El Jimador Paloma 473ml|744607002691|003150|003150|003150|Cerveza
1408009|Skyy Cosmo Arandano 275ml|721059712750|003290|003290|003290|Cerveza
1408010|Cerveza Negra Modelo  Bote 355ml|7501064196935|002300|002300|002300|Cerveza
1408011|Cerveza Barrilito 325ml|75030575|001450|001450|001450|Cerveza
1408012|Cerveza Stella Artois Botella 330ml|7501064199141|002500|002500|002500|Cerveza
1408013|Cerveza Pacifico Suave 355ml|7501064199387|002100|002100|002100|Cerveza
1408014|Cerveza Michelob ULTRA lata 355ml|7501064194504|002090|002090|002090|Cerveza
1408015|Cerveza Victoria Vicky Chamoy 473 ml Lata|7501064199769|002050|002050|002050|Cerveza
1408016|Cerveza Carta blanca  355ml|7501061651543|001200|001200|001200|Cerveza
1408017|Cerveza Lata Tecate Light 355ml|00000000000000|001900|001900|001900|Cerveza
1408018|Cerveza Tecate 355ml|00000000000000|001850|001850|001850|Cerveza
1408019|Cerveza Coronita Clara 210ml|7501064103100|001240|001240|001240|Cerveza
1408020|Cerveza  Noche Buena 355 ml|75019297|002050|002050|002050|Cerveza
1408021|Importe envase MODELO  355ml|1408021|000800|000800|000800|Cerveza
1408022|Cerveza  MODELO ESPECIAL Envase Retornable 355 ml|1408022|002200|002200|002200|Cerveza
1408023|Cerveza Victoria  Vicky  Mango 473ml Lata|7503024460698|002050|002050|002050|Cerveza
1408024|New Mix Cantarito Lata 473ml|744607008914|003250|003250|003250|Cerveza
1408025|Cerveza Victoria Vidrio 210ml|75026967|001240|001240|001240|Cerveza
1408026|Cerveza Corona CERO  355ml|7503024460018|001600|001600|001600|Cerveza
1409001|Caribe Cooler Durazno 300ml|7501032485016|002500|002500|002500|Bebidas Alcoholicas
1409002|Tequila Centenario REPOSADO 950ml|7501048810017|039900|039900|039900|Bebidas Alcoholicas
1409003|Tequila Centenario  PLATA 950ml|7501048810116|039900|039900|039900|Bebidas Alcoholicas
1409004|Tequila Jose Cuervo Especial 695ml|7501035010116|020900|020900|020900|Bebidas Alcoholicas
1409005|Whisky Johnnie Walker Red Label  700ml|5000267014203|044000|044000|044000|Bebidas Alcoholicas
1409006|Brandy Torres 10 de 700ml|8410113000071|037000|037000|037000|Bebidas Alcoholicas
1409007|Ron Bacardi Blanco 980ml|7501008660201|030000|030000|030000|Bebidas Alcoholicas
1409008|Sangrita Viuda de Sanchez 1lt|7501035010260|011500|011500|011500|Bebidas Alcoholicas
1409009|Vodka  Absolut Azul 750ml|7312040017010|029500|029500|029500|Bebidas Alcoholicas
1409010|Whisky Black and white 700ml|50196135|028000|028000|028000|Bebidas Alcoholicas
1409011|Ron Bacardi Añejo 980ml|7610113012376|035000|035000|035000|Bebidas Alcoholicas
1501002|Cebolla|1501002|003800|003800|003910|Verduras
1501003|Ajo|1501003|009500|009500|009790|Verduras
1501004|Chile Serrano|0|002650|002650|002730|Verduras
1501005|Limon Agrio|1501005|002600|002600|002680|Verduras
1501006|Tomate Verde con Hoja|1501006|002000|002000|002060|Verduras
1501007|Calabaza|1501007|001700|001700|001750|Verduras
1501008|Chile Jalapeño|1501008|002600|002600|002680|Verduras
1501009|Nopal|1501009|002600|002600|002680|Verduras
1501011|Papa|1501011|003500|003500|003610|Verduras
1501012|Zanahoria|1501012|000900|000900|000930|Verduras
1501013|Pepino|1501013|001800|001800|001850|Verduras
1501015|Papa cambray Blanca|1501015|003200|003200|003300|Verduras
1501016|Betabel|1501016|001600|001600|001650|Verduras
1501017|Cebolla Morada|1501017|003200|003200|003300|Verduras
1501018|Champinon|1501018|010000|010000|010300|Verduras
1501019|Chayote|1501019|001600|001600|001650|Verduras
1501020|Chile Manzano|1501020|011500|011500|011850|Verduras
1501021|Chile Poblano|1501021|002500|002500|002580|Verduras
1501022|Col blanca|1501022|002000|002000|002060|Verduras
1501023|Ejote|1501023|003500|003500|003610|Verduras
1501025|Espinaca|1501025|003200|003200|003300|Verduras
1501027|Lechuga Orejona|1501027|001100|001100|001130|Verduras
1501029|Lechuga Sangria|1501029|001200|001200|001240|Verduras
1501030|Limon sin Semilla|1501030|002600|002600|002680|Verduras
1501031|Pimiento Amarillo|1501031|004500|004500|004640|Verduras
1501032|Pimiento Rojo|1501032|004500|004500|004640|Verduras
1501033|Pimiento Verde|1501033|004500|004500|004640|Verduras
1501034|Acelga|1501034|001200|001200|001240|Verduras
1501035|Perejil Liso|1501035|002500|002500|002580|Verduras
1501037|Rabanos|1501037|002200|002200|002270|Verduras
1502001|Aguacate|1502001|008000|008000|008240|Frutas
1502002|Platano Tabasco|1502002|001800|001800|001850|Frutas
1502003|Guayaba|1502003|002300|002300|002370|Frutas
1502004|Manzana Gala|1502004|007500|007500|007730|Frutas
1502005|Naranja|1502005|001500|001500|001550|Frutas
1502006|Papaya|1502006|002400|002400|002470|Frutas
1502007|Piña|0|002400|002400|002470|Frutas
1502008|Melon Chino|1502008|002700|002700|002780|Frutas
1502009|Mango|1502009|003000|003000|003090|Frutas
1502010|Manzana Amarilla|1502010|007600|007600|007830|Frutas
1502012|Jicama|1502012|001600|001600|001650|Frutas
1502013|Mango Petacon|1502013|002500|002500|002580|Frutas
1502014|Manzana Economica|1502014|003800|003800|003910|Frutas
1502015|Manzana Roja|1502015|006000|006000|006180|Frutas
1502016|Melon Valenciano|1502016|001650|001650|001700|Frutas
1502017|Pera|1502017|006500|006500|006700|Frutas
1502018|Sandia|1502018|001300|001300|001340|Frutas
1502019|Toronja|1502019|002600|002600|002680|Frutas
1503001|Brocoli Florete LA HUERTA 500gr|7501047902522|005410|005410|005580|Verduras Congeladas
1503002|Ejote Cortado LA HUERTA 500gr|7501047902560|005100|005100|005270|Verduras Congeladas
1503003|Elote en Grano LA HUERTA 500gr|7501047902577|006130|006130|006320|Verduras Congeladas
1503004|Espinaca LA HUERTA 500gr|7501047902591|004080|004080|004210|Verduras Congeladas
1503005|Nopal  LA HUERTA 500gr|1503005|005000|005000|005150|Verduras Congeladas
1503006|Rajas Poblanas LA HUERTA 500gr|7501047902621|010530|010530|010850|Verduras Congeladas
1503007|Champinon  LA HUERTA 300gr|7501047902652|004970|004970|005120|Verduras Congeladas
1503008|Mezcla Juliana LA HUERTA 500gr|7501047902904|003060|003060|003160|Verduras Congeladas
1503009|Combinado Primavera LA HUERTA 500gr|7501047903000|004970|004970|005120|Verduras Congeladas
1503010|Chicharos LA HUERTA 500gr|7501047902706|007020|007020|007220|Verduras Congeladas
1503011|Mezcla California LA HUERTA 500gr|7501047903017|004230|004230|004360|Verduras Congeladas
1503012|Combinado de Vegetales LA HUERTA 500gr|7501047903031|004520|004520|004650|Verduras Congeladas
1503013|Mezcla Oriental LA HUERTA 500gr|7501047903048|006140|006140|006330|Verduras Congeladas
1503014|Chicharo con Zanahoria LA HUERTA 500gr|7501047903062|004820|004820|004960|Verduras Congeladas
1503015|Mezcla Campesina LA HUERTA 500gr|7501047903093|005110|005110|005270|Verduras Congeladas
1503016|Elote con Rajas LA HUERTA 500gr|7501047903109|006560|006560|006770|Verduras Congeladas
1503017|Guarnición de Verduras LA HUERTA 500gr|7501047903116|003200|003200|003320|Verduras Congeladas
1503018|Chile Poblano LA HUERTA 4pzas|7501047905301|008470|008470|008720|Verduras Congeladas
1503019|Smothie jugo verde 3pz|7501047905332|010500|010500|010810|Verduras Congeladas
1504001|Fresas LA HUERTA 500gr|7501047902607|007880|007880|008120|Frutas Congeladas
1504002|Mango en trozos LA HUERTA 500g|7501047904557|007140|007140|007360|Frutas Congeladas
1504003|Frutos del Huerto LA HUERTA 500gr|7501047902997|003200|003200|003300|Frutas Congeladas
1504004|Zarzamora LA HUERTA 500gr|0|010730|010730|011050|Frutas Congeladas
1505001|Filete de pescado Tilapia|1505001|011830|011830|012180|Carne Congelada
1505002|Humburgesa de Res LA TEXANA 928gr|664177000012|007900|007900|008130|Carne Congelada
1505003|Humburgesa de Arrachera GOLDEN BULL 1.2Kg|664177000098|013720|013720|014130|Carne Congelada
1505004|Humburgesa MASTERB RES  1.08Kg|664177000101|009200|009200|009480|Carne Congelada
1506001|Papa a la Fransesa Balley Delgada 24/400 gr|7503023807289|005240|005240|005410|Carne Congelada
1506002|Papa a la Fransesa Mc Cain Gruesa 24/500 gr|055773004298|007440|007440|007660|Carne Congelada
1506003|Papa a la Fransesa Gajo Mc Cain Gruesa 12/750 gr|055773004311|010060|010060|010370|Carne Congelada
1506004|Medallones Elote y Rajas LA HUERTA 6pzas|7501047908487|009920|009920|010210|Carne Congelada
1506005|Medallones Espinaca LA HUERTA 6pzas|7501047908494|009350|009350|009620|Carne Congelada
1506006|Pasta Bolognesa LA HUERTA 400 gr|7501047903352|009480|009480|009770|Carne Congelada
1506007|Pasta Alfredo  LA HUERTA 400 gr|7501047903383|009480|009480|009770|Carne Congelada
1506008|Nuggets de pollo Huerta|1506008|013500|013500|013910|Carne Congelada
1506009|Papas a la francesa MAESTRO 4pzas|1506009|020000|020000|020600|Carne Congelada
1506010|Papa Fran MC CAIN Corte Ondulado 1kg|055773004359|012980|012980|013370|Carne Congelada
1506013|Ala de pollo marinada Premium VIZCAINA 1kg|1506013|011150|011150|011480|Carne Congelada
1506014|Filete ajo limon 700gr BACHOCO|7501101545511|011500|011500|011850|Carne Congelada
1506015|Filete mezquite 700gr BACHOCO|7501101545504|016000|016000|016480|Carne Congelada
1506016|Alitas picositas 700gr BACHOCO|7501101545702|014900|014900|015350|Carne Congelada
1506017|Tiras de pechuga 900 gr BACHOCO|1506017|024500|024500|025260|Carne Congelada
1506018|Boneless valentina 700 gr BACHOCO|7501101544903|011000|011000|011330|Carne Congelada
1506019|Filetitos de Pollo Prácticos BACHOCO 500g|1506019|005400|005400|005560|Carne Congelada
1506020|Milanesas de Pollo Prácticos BACHOCO 500g|1506020|005400|005400|005560|Carne Congelada
1506021|Hamburguesa Arrachera BACHOCO  904gr|1506021|011000|011000|011330|Carne Congelada
1601002|Aderezo 3.8kg HELLMANN¨S (4pz)|7501005152822|016390|016390|016880|Aderezos
1601004|Aderezo p/Nachos 1kg PREMIER|7501639334793|003800|003520|003910|Aderezos
1601009|Aderezo Ranch 237ml CLEMENTE (12pz)|7501052470085|003580|003580|003690|Aderezos
1601011|Aderezo HELLMANS a Granel|1601011|005670|005670|005840|Aderezos
1601012|Aderezo Gourmet BALSAMICO 250ml Santo Sano|798190128832|012200|012200|012570|Aderezos
1601013|Aderezo Gourmet MIEL MOSTAZA 250ml Santo Sano|798190128849|012200|012200|012570|Aderezos
1601015|Aderezo Gourmet CHIPOTLE 250ml Santo Sano|798190128825|012200|012200|012570|Aderezos
1601016|Aderezo de mayonesa Light con jugo de limon 350 grs|7501003308351|004080|004020|004200|Aderezos
1602002|Miel de Abeja 365g SANTA FE|7503006546037|005830|005420|006000|Enlatados Dulces
1602003|Miel de Abeja 725g SANTA FE|7503006546020|010060|009440|010360|Enlatados Dulces
1602004|Miel de Abeja 1065g SANTA FE|7503006546013|014690|013820|015130|Enlatados Dulces
1602005|Miel maple 250ml KARO|7502223775688|004450|004320|004580|Enlatados Dulces
1602009|Saborizante de vainilla DGARI (50pz)|735257007143|001940|001850|002000|Enlatados Dulces
1602010|Chocolate 6pz ABUELITA (6pz)|7501058628299|001900|001850|001960|Enlatados Dulces
1602011|La Lechera 375g (48pz)|7506475104722|002850|002750|002940|Enlatados Dulces
1602013|Media Crema 225g NESTLE (24pz)|7501001600426|002000|001910|002060|Enlatados Dulces
1602014|Avena 400g 3 MINUTOS|7501761810394|004600|004400|004740|Enlatados Dulces
1602015|Gelatina en Polvo Fresa 120g DGARI (50pz)|735257002513|001300|001240|001340|Enlatados Dulces
1602016|Gelatina en Polvo Limón 120g DGARI|735257002490|001300|001240|001340|Enlatados Dulces
1602017|Gelatina en Polvo Piña 120g DGARI|735257002469|001300|001240|001340|Enlatados Dulces
1602019|Gelatina en Polvo Jerez 120g DGARI|735257002506|001300|001240|001340|Enlatados Dulces
1602020|Gelatina en Polvo Uva 140g DGARI|735257002452|001300|001240|001340|Enlatados Dulces
1602022|Gelatina en Polvo Durazno 140g DGARI|735257002537|001300|001240|001340|Enlatados Dulces
1602024|Chocolate Sobre 350g CHOCO MILK|7506205807596|005600|005350|005770|Enlatados Dulces
1602026|La Lechera 100g (48pz)|7501059211209|001290|001230|001330|Enlatados Dulces
1602027|Chocolate Sobre 357g MORELIA|7501059296305|004130|003930|004250|Enlatados Dulces
1602030|Gelatina de leche Vainilla 140g DGARI|735257002636|001300|001240|001340|Enlatados Dulces
1602031|Gelatina de leche Rompope 140g DGARI (50pz)|735257002629|001300|001240|001340|Enlatados Dulces
1602034|Chocolate 90g ChocOcoa|697703011039|002570|002450|002650|Enlatados Dulces
1602035|Leche Evaporada  Clavel (48pz)|7501058611062|002200|002100|002270|Enlatados Dulces
1602036|Zucaritas 380g KELLOGGS (21pz)|7501008057247|005050|004800|005200|Enlatados Dulces
1602038|Junior Pouch Manzana GERBER 110g (12pz)|7506475114073|001530|001450|001530|Enlatados Dulces
1602043|Durazno Mitad 820g MAXIMA (12pz)|823703800018|005650|005300|005820|Enlatados Dulces
1602045|Rompope FIGUEROA SANCHEZ 940ml (12pz)|7503008739017|009470|009470|009750|Enlatados Dulces
1602054|Mermelada Fresa 450g McCormick (12pz)|7501003309808|004240|004040|004370|Enlatados Dulces
1602056|Mermelada Zarzamora 270g McCormick (24pz)|7501003336620|003330|003170|003430|Enlatados Dulces
1602062|Crema Avellana Nutella 350grs (15pz)|789742895050|009000|008600|009270|Enlatados Dulces
1602066|Granola Coronel 250grs (10pz)|742832182324|004300|004300|004430|Enlatados Dulces
1602067|Grenetina 28g DGARI (18pz)|735257013007|002100|001990|002160|Enlatados Dulces
1602068|Gelatina en Polvo Fresa Light 20g DGARI|735257003039|001300|001250|001340|Enlatados Dulces
1602071|Chocolate Liquido Hersheys 589gr (24pz)|7501024577057|006700|006400|006900|Enlatados Dulces
1602073|Crema de Cacahuate CORINA 340grs (12pzas)|058897095272|006200|005910|006390|Enlatados Dulces
1602074|Leche Condensada CORINA 375gr (12pzas)|058897094077|002450|002370|002520|Enlatados Dulces
1602075|Miel de Abeja Carlota 300gr (12pz)|7501003184078|006030|005800|006210|Enlatados Dulces
1602080|Colado de Frutas Mixtas 100g GERBER (24pz)|7506475102490|001140|001090|001170|Enlatados Dulces
1602081|Crema Avellana CORINA 350grs (12pz)|058897092622|006470|006170|006660|Enlatados Dulces
1602083|Cajeta Squizzable QUEMADA 333g CORONADO|7503031287028|005400|005200|005560|Enlatados Dulces
1602084|Hojuelas de Maiz con Azucar  GOLDEN FOODS 500gr|7502233110295|003650|003500|003760|Enlatados Dulces
1602085|Aritos de Cereal Frutas (Fruti Rolls) GOLDEN FOODS 500gr|7502233110325|003940|003750|004060|Enlatados Dulces
1602086|Arroz Inflado (Choco Nubis) GOLDEN FOODS 500gr|7502233110332|003900|003700|004020|Enlatados Dulces
1602090|Hojuelas N1 de  Avena Integral 400gr (36pz)|014563000070|001300|001250|001340|Enlatados Dulces
1602091|Hojuelas N1 de  Avena Integral 1Kg (20pz)|014563000209|002750|002650|002830|Enlatados Dulces
1602099|Piña Rebanada 800g  CLEMENTE JACQUES (12pz)|7501052477206|006900|006600|007110|Enlatados Dulces
1602100|Coctel De Frutas En Almibar LA COSTENA 850grs (12pz)|7501017003358|007300|006950|007300|Enlatados Dulces
1602101|Chocolate En Polvo Granulado ABUELITA  320g (24pz)|7501059289659|005500|005400|005500|Enlatados Dulces
1602102|Cocoa HERSHEYS 200g  (20PZ)|7501024530533|010900|010400|010900|Enlatados Dulces
1603001|Mayonesa #4 105g MC CORMICK 24pz)|7501003300652|001970|001880|002030|Mayonesa y Mostaza
1603002|Mayonesa #8 190g MC CORMICK (24pz)|7501003340122|003010|002850|003100|Mayonesa y Mostaza
1603003|Mayoneza #16 390g MC CORMICK (12pz)|7501003340139|005320|005090|005480|Mayonesa y Mostaza
1603004|Mayonesa #32 725g MC CORMICK (12pz)|7501003305855|007660|007350|007890|Mayonesa y Mostaza
1603005|Mayonesa Institucional 3.4kg MC CORMICK|7501003340160|029000|028480|029870|Mayonesa y Mostaza
1603006|Mayonesa Institucional a Granel|1603006|010240|010240|010550|Mayonesa y Mostaza
1603009|Mostaza #8 210g MC CORMICK (24pz)|7501003335029|001700|001610|001750|Mayonesa y Mostaza
1603010|Mostaza 3.85kg MC CORMICK (4pz)|7501003335227|013170|013170|013570|Mayonesa y Mostaza
1603011|Mostaza a Granel|1603011|004000|004000|004120|Mayonesa y Mostaza
1603013|Mayonesa Cubeta de 13kg MC CORMICK|7501003501523|000000|000000|000000|Mayonesa y Mostaza
1603016|Mayonesa HELLMANNS Clasica 390g|7501005151962|004380|004160|004380|Mayonesa y Mostaza
1604001|Huevo SAN JUAN ( CEDIS )|1604001|005200|005200|005360|Huevo
1604003|Huevo MULTIMARCA|1604003|005150|005150|005300|Huevo
1604005|Huevo (San Miguel de Allende)|1604005|005200|005200|005360|Huevo
1604006|Claras de Huevo 500gr SAN JUAN|7502232251715|003070|002930|003160|Huevo
1604007|Huevo Rojo Libre Pastoreo Coronel|1604007|000490|000490|000500|Huevo
1604009|Huevo de Rancho en Estuche Coronel 6 piezas|1604009|004330|004330|004460|Huevo
